id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	ability	0.0968	0.2871	3	174	457	22	2024.2273
2	academia	-0.5734	-0.4583	1	109	225	13	2024.2308
3	academic research	-0.9336	-0.2505	1	127	289	12	2024
4	acceptance	-0.3207	-0.5691	1	96	496	22	2024.0455
5	access	-0.026	-0.2963	5	222	860	33	2024.0303
6	accounting	-1.0226	-0.1927	1	91	325	21	2024.1429
7	accuracy	-0.1419	0.3192	3	156	469	21	2024.0476
8	achievement	-0.0671	0.3869	5	194	531	23	2024.1304
9	action	-0.5975	0.0124	1	188	524	27	2024.1111
10	acupuncture	1.6949	0.0739	2	38	435	10	2024
11	adolescent	0.6804	-0.2532	2	91	407	17	2024
12	adoption	-0.7921	-0.1048	1	252	1105	50	2024.06
13	adsorption	0.1016	0.6787	3	111	464	23	2024
14	advanced technology	-0.5708	0.3586	1	108	216	10	2024.3
15	advantage	-0.4885	0.3809	1	265	933	47	2024.1702
16	adverse effect	-0.1235	-0.2994	3	106	320	14	2024
17	africa	-0.2421	-0.1848	5	128	642	32	2024
18	agenda	-0.9856	0.1786	1	157	488	24	2024.0417
19	agriculture	-0.8183	0.2349	1	182	1129	46	2024.0217
20	algorithm	-0.3734	0.1792	1	212	959	38	2024.0263
21	alternative	-0.2587	0.5977	3	151	597	24	2024.125
22	alzheimer	1.401	0.0632	2	58	288	11	2024.0909
23	annual number	0.8529	-0.1365	2	124	273	12	2024
24	annual publication	1.1233	0.1435	2	185	607	26	2024.0769
25	antecedent	-1.4578	-0.2907	1	63	215	11	2024
26	april	0.637	0.1741	2	149	317	12	2024.1667
27	architecture	-0.9372	0.183	1	79	371	21	2024.7143
28	art	-0.715	0.4331	3	149	482	26	2024.3077
29	art therapy	0.5745	0.5077	3	15	312	12	2024
30	asia	-0.3114	-0.0582	3	179	535	24	2024.1667
31	association	0.7484	-0.3051	2	162	585	29	2024.0345
32	august	0.8409	-0.1713	2	130	289	12	2024.1667
33	authorship	0.3259	-0.2001	2	269	999	56	2024.1607
34	average	0.4937	-0.2506	2	130	312	14	2024.0714
35	awareness	-0.489	-0.3279	4	173	445	18	2024
36	behavior	-0.6566	0.0759	1	232	740	44	2024.1818
37	benefit	-0.4356	0.063	1	262	868	46	2024.0435
38	better understanding	-0.1813	0.0204	4	91	172	12	2024.1667
39	bibliometric data	-0.0534	-0.4293	4	158	428	25	2024.2
40	bibliometric indicator	0.4513	-0.0834	2	147	347	17	2024.1176
41	bibliometric perspective	0.2574	0.1769	2	96	199	12	2024
42	big data	-0.3722	-0.1691	1	178	877	36	2024.0556
43	biochar	0.1267	0.7859	3	56	352	26	2024
44	biomarker	1.2334	0.065	2	122	551	28	2024.1429
45	bipolar disorder	0.5672	-0.2139	2	23	180	11	2024
46	blockchain	-0.9899	-0.0797	1	130	562	25	2024
47	blockchain technology	-0.7263	-0.0897	1	93	386	19	2024
48	body	-0.2127	0.1226	1	311	1264	51	2024.0588
49	book	-1.0664	0.6503	3	29	151	15	2024.4
50	building	-0.8415	0.3495	1	143	612	42	2024.2143
51	business	-1.187	-0.1193	1	206	1558	67	2024.0299
52	california	1.0502	0.177	2	124	349	12	2024.0833
53	canada	0.6846	-0.2263	2	192	521	24	2024.0417
54	cancer	1.1698	0.0052	2	206	2136	102	2024
